timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.78483E+12,1869,HTTP Request- ECommerce,200,OK,Thread Group 1-1,text,TRUE,,17448,372,2,2,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a2952b61-86c3-11f1-8ca1-5db0f5a2e642&vid=&g=b,1671,0,1017
1.78483E+12,1674,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-1,text,TRUE,,1506,148,2,2,https://www.walmart.com/cp/dorm-room-essentials/1225229,1671,0,1017
1.78483E+12,192,HTTP Request- ECommerce-1,200,OK,Thread Group 1-1,text,TRUE,,15942,224,2,2,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a2952b61-86c3-11f1-8ca1-5db0f5a2e642&vid=&g=b,192,0,0
1.78483E+12,805,HTTP Request- ECommerce,200,OK,Thread Group 1-2,text,TRUE,,17445,372,2,2,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a2d5964b-86c3-11f1-a20b-83bb1239deb3&vid=&g=b,697,0,202
1.78483E+12,697,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-2,text,TRUE,,1505,148,2,2,https://www.walmart.com/cp/dorm-room-essentials/1225229,697,0,202
1.78483E+12,107,HTTP Request- ECommerce-1,200,OK,Thread Group 1-2,text,TRUE,,15940,224,2,2,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a2d5964b-86c3-11f1-a20b-83bb1239deb3&vid=&g=b,107,0,0
1.78483E+12,706,HTTP Request- ECommerce,200,OK,Thread Group 1-1,text,TRUE,,17445,372,2,2,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a31230b8-86c3-11f1-9539-2a2ecab5da3b&vid=&g=b,501,0,0
1.78483E+12,502,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-1,text,TRUE,,1504,148,2,2,https://www.walmart.com/cp/dorm-room-essentials/1225229,501,0,0
1.78483E+12,204,HTTP Request- ECommerce-1,200,OK,Thread Group 1-1,text,TRUE,,15941,224,2,2,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a31230b8-86c3-11f1-9539-2a2ecab5da3b&vid=&g=b,204,0,0
1.78483E+12,679,HTTP Request- ECommerce,200,OK,Thread Group 1-2,text,TRUE,,17445,372,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a33131b6-86c3-11f1-a42a-c1f06394ccde&vid=&g=b,528,0,0
1.78483E+12,528,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-2,text,TRUE,,1503,148,3,3,https://www.walmart.com/cp/dorm-room-essentials/1225229,528,0,0
1.78483E+12,150,HTTP Request- ECommerce-1,200,OK,Thread Group 1-2,text,TRUE,,15942,224,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a33131b6-86c3-11f1-a42a-c1f06394ccde&vid=&g=b,150,0,0
1.78483E+12,633,HTTP Request- ECommerce,200,OK,Thread Group 1-1,text,TRUE,,17446,372,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a3821e0e-86c3-11f1-8415-9d40ddde3e5f&vid=&g=b,516,0,0
1.78483E+12,517,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-1,text,TRUE,,1504,148,3,3,https://www.walmart.com/cp/dorm-room-essentials/1225229,516,0,0
1.78483E+12,116,HTTP Request- ECommerce-1,200,OK,Thread Group 1-1,text,TRUE,,15942,224,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a3821e0e-86c3-11f1-8415-9d40ddde3e5f&vid=&g=b,116,0,0
1.78483E+12,667,HTTP Request- ECommerce,200,OK,Thread Group 1-2,text,TRUE,,17445,372,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a39b9399-86c3-11f1-97c2-d66e09638823&vid=&g=b,542,0,0
1.78483E+12,542,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-2,text,TRUE,,1503,148,3,3,https://www.walmart.com/cp/dorm-room-essentials/1225229,542,0,0
1.78483E+12,125,HTTP Request- ECommerce-1,200,OK,Thread Group 1-2,text,TRUE,,15942,224,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a39b9399-86c3-11f1-97c2-d66e09638823&vid=&g=b,125,0,0
1.78483E+12,807,HTTP Request- ECommerce,200,OK,Thread Group 1-3,text,TRUE,,17445,372,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a3b5c65e-86c3-11f1-bc93-f6a38a2f8cf3&vid=&g=b,705,0,203
1.78483E+12,705,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-3,text,TRUE,,1505,148,3,3,https://www.walmart.com/cp/dorm-room-essentials/1225229,705,0,203
1.78483E+12,102,HTTP Request- ECommerce-1,200,OK,Thread Group 1-3,text,TRUE,,15940,224,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a3b5c65e-86c3-11f1-bc93-f6a38a2f8cf3&vid=&g=b,101,0,0
1.78483E+12,694,HTTP Request- ECommerce,200,OK,Thread Group 1-1,text,TRUE,,17446,372,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a3e3e7ea-86c3-11f1-82a0-f07e600f4f75&vid=&g=b,588,0,0
1.78483E+12,588,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-1,text,TRUE,,1504,148,3,3,https://www.walmart.com/cp/dorm-room-essentials/1225229,588,0,0
1.78483E+12,106,HTTP Request- ECommerce-1,200,OK,Thread Group 1-1,text,TRUE,,15942,224,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a3e3e7ea-86c3-11f1-82a0-f07e600f4f75&vid=&g=b,106,0,0
1.78483E+12,698,HTTP Request- ECommerce,200,OK,Thread Group 1-2,text,TRUE,,17444,372,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a40788c2-86c3-11f1-a89d-ce10fb54f315&vid=&g=b,590,0,0
1.78483E+12,590,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-2,text,TRUE,,1503,148,3,3,https://www.walmart.com/cp/dorm-room-essentials/1225229,590,0,0
1.78483E+12,107,HTTP Request- ECommerce-1,200,OK,Thread Group 1-2,text,TRUE,,15941,224,3,3,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a40788c2-86c3-11f1-a89d-ce10fb54f315&vid=&g=b,107,0,0
1.78483E+12,716,HTTP Request- ECommerce,200,OK,Thread Group 1-3,text,TRUE,,17443,372,4,4,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a4126be0-86c3-11f1-af1c-c055ab89b173&vid=&g=b,611,0,0
1.78483E+12,611,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-3,text,TRUE,,1503,148,4,4,https://www.walmart.com/cp/dorm-room-essentials/1225229,611,0,0
1.78483E+12,104,HTTP Request- ECommerce-1,200,OK,Thread Group 1-3,text,TRUE,,15940,224,4,4,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a4126be0-86c3-11f1-af1c-c055ab89b173&vid=&g=b,104,0,0
1.78483E+12,614,HTTP Request- ECommerce,200,OK,Thread Group 1-1,text,TRUE,,17447,372,4,4,https://www.walmart.com/blocked?url=L2NwL2Rvcm0tcm9vbS1lc3NlbnRpYWxzLzEyMjUyMjk=&uuid=a44a698f-86c3-11f1-a830-6d2f3abb6b7a&vid=&g=b,507,0,0
1.78483E+12,507,HTTP Request- ECommerce-0,307,Temporary Redirect,Thread Group 1-1,text,TRUE,,1504,148,4,4,https://www.walmart.com/cp/dorm-room-essentials/1225229,507,0,0
